aids_diag_apids,cityfip,year
60,9040,1996
230,9160,1996
29,9320,1996
47,0080,1997
109,0160,1997
84,0200,1997
72,0240,1997
21,0440,1997
1062,0520,1997
255,0640,1997
87,0680,1997
1183,0720,1997
185,0760,1997
323,0875,1997
155,1000,1997
785,1123,1997
92,1280,1997
103,1440,1997
149,1520,1997
1417,1600,1997
115,1640,1997
228,1680,1997
22,1720,1997
145,1760,1997
98,1840,1997
735,1920,1997
47,2000,1997
93,2020,1997
279,2080,1997
503,2160,1997
97,2320,1997
922,2680,1997
28,2760,1997
225,2800,1997
73,2840,1997
54,2960,1997
51,3000,1997
95,3120,1997
118,3160,1997
90,3240,1997
312,3283,1997
83,3320,1997
1351,3360,1997
200,3480,1997
316,3600,1997
367,3640,1997
209,3760,1997
59,3840,1997
321,4120,1997
79,4400,1997
2085,4480,1997
149,4520,1997
30,4880,1997
262,4920,1997
1547,5000,1997
183,5015,1997
119,5080,1997
178,5120,1997
92,5160,1997
164,5190,1997
266,5360,1997
356,5380,1997
