locationcode,aids_prev_all1988,aids_prev_all1989,aids_prev_all1990,aids_prev_all1991,aids_prev_all1992,aids_prev_all1993,aids_prev_all1994,aids_prev_all1995,aids_prev_all1996,aids_prev_all1997,aids_prev_all1998,aids_prev_all1999,aids_prev_all2000,aids_prev_all2001,aids_prev_all2002,aids_prev_all2003,aids_prev_all2004,aids_prev_all2005,aids_prev_all2006,aids_prev_all2007,aids_prev_all2008,aids_prev_all2009,aids_prev_all2010,aids_prev_all2011,aids_prev_all2012,aids_prev_all2013,aids_prev_all2014,aids_prev_all2015,aids_prev_all2016,aids_prev_all2017,aids_prev_all2018
3240,52,70,89,109,167,187,218,252,280,331,398,462,512,536,548,565,566,575,616,643,663,691,607,623,625,644,619,616,301,424,398
3283,162,225,335,477,663,1016,1147,1274,1446,1624,1713,1774,1813,1874,1962,2060,2090,2130,2171,2184,2204,2172,487,620,817,1387,1985,2060,2071,2091,2202
3320,104,149,186,228,291,371,406,411,427,460,508,540,594,631,682,719,731,767,784,820,840,875,528,708,799,847,876,848,834,875,859
3360,1493,1998,2490,2947,3614,4139,4372,4743,5507,6295,6719,7120,7541,7925,8412,8865,9375,9858,10415,10913,11462,12072,12535,13039,13666,14014,14386,14692,14907,15200,15500
3480,173,243,345,470,617,738,762,840,905,987,1079,1184,1289,1385,1493,1617,1731,1830,1907,1983,2077,2176,2334,2418,2508,2535,2579,2629,2657,2727,2782
3600,244,372,548,715,1006,1193,1313,1355,1468,1627,1742,1897,2027,2166,2253,2356,2525,2615,2729,2834,2986,3144,3173,3254,3411,3526,3618,3698,3744,3780,3829
3760,406,576,745,913,1061,1139,1148,1185,1243,1345,1430,1517,1565,1631,1699,1771,1848,1968,2066,2185,2301,2358,2238,2314,2362,2403,2435,2467,2476,2513,2553
3840,21,33,46,75,112,135,154,185,205,241,273,293,306,322,348,372,399,435,454,481,518,545,615,607,621,619,591,606,634,627,518
4120,96,144,225,327,465,617,697,838,1003,1162,1261,1350,1474,1573,1700,1807,1932,2064,2191,2318,2474,2577,2855,2920,2995,3091,3329,3455,3628,3820,4029
4400,46,80,108,173,237,281,302,321,353,401,438,460,493,531,573,608,628,676,695,733,744,767,776,770,793,825,845,873,931,981,990
4480,3272,4062,5098,6666,8204,9450,10266,10993,11946,13161,14312,15350,16456,17392,18495,19543,20344,21113,21895,22544,23378,24311,24172,24707,25494,26216,26376,26164,25465,25382,25377
4520,65,91,115,177,249,324,369,432,509,595,667,746,805,850,913,972,1030,1071,1110,1202,1268,1322,1001,1072,1302,1551,1597,993,1623,1668,1660
4880,6,17,31,39,50,59,77,92,103,122,151,168,195,233,261,295,333,366,388,426,446,456,510,471,489,498,552,649,707,713,766
